"","numero.MT","cepa","R.colistina","COL","ORIGEN","AÑO","ST","Mutacion"
"1",1,"M4","S","1","HDC",2011,"25",""
"2",2,"M1","S","1","HDC",2011,"25",""
"3",3,"61BS","S","S","BS AS",2016,"1",""
"4",4,"73BS","S","S","BS AS",2016,"1",""
"5",5,"623","S","1","HDC",2016,"",""
"6",6,"603","S","1","HDC",2016,"79",""
"7",7,"ME5","S","1","MENDOZA",2013,"25",""
"8",8,"ME6","S","1","MENDOZA",2013,"79",""
"9",9,"9B","S","S","BOLIVIA",2013,"25",""
"10",10,"3B","S","S","BOLIVIA",2013,"25",""
"11",11,"1CHI","S","S","CHILE",2013,"15",""
"12",12,"11EC","S","S","ECUADOR",2013,"15",""
"13",13,"ME4","S","1","MENDOZA",2013,"79",""
"14",14,"U15","S","S","URUGUAY",2016,"",""
"15",15,"LP5","S","S","LAPAMPA",2016,"25",""
"16",16,"T2","S","S","TUCUMAN",2016,"25",""
"17",17,"87 CHA","S","S","CHACO",2016,"79",""
"18",18,"82 CHA","S","S","CHACO",2016,"79",""
"19",19,"80 CHA","S","S","CHACO",2016,"79",""
"20",20,"81 CHA","S","S","CHACO",2016,"79",""
"21",21,"15 E","S","S","ECUADOR",2013,"79",""
"22",22,"1090","S","1","HDC",2017,"",""
"23",23,"56SJ","S","S","SJUAN",2016,"15",""
"24",24,"51SJ","S","S","SJUAN",2016,"1",""
"25",25,"59SJ","S","S","SJUAN",2016,"15",""
"26",26,"57SJ","S","S","SJUAN",2016,"15",""
"27",27,"CAT7","S","S","CATAMARCA",2016,"1",""
"28",28,"CAT2","S","S","CATAMARCA",2016,"25",""
"29",29,"11II","S","1","HDC",2009,"",""
"30",30,"M15","S","1","HDC",2011,"",""
"31",31,"13CHIL","S","S","CHILE",2013,"15",""
"32",32,"627","S","1","HDC",2016,"79",""
"33",33,"628","S","1","HDC",2016,"1",""
"34",34,"607","S","1","HDC",2016,"1",""
"35",35,"600","S","1","HDC",2016,"",""
"36",36,"7E","S","S","ECUADOR",2013,"15",""
"37",37,"3E","S","S","ECUADOR",2013,"15",""
"38",38,"66BS","S","S","BS AS",2016,"1",""
"39",39,"CAT1","S","S","CATAMARCA",2016,"1",""
"40",40,"58SJ","S","S","SJUAN",2016,"15",""
"41",41,"50SJ","S","S","SJUAN",2016,"1",""
"42",42,"91CHAC","S","S","CHACO",2016,"79",""
"43",43,"71BS","S","S","BS AS",2016,"ind",""
"44",44,"55SJ","S","S","SJUAN",2016,"15",""
"45",45,"53TES","S","1","HDC",2004,"",""
"46",46,"66 TES","S","1","HDC",2004,"",""
"47",47,"643","S","1","HDC",2016,"1",""
"48",49,"641","S","1","HDC",2016,"25",""
"49",50,"616","S","1","HDC",2016,"5",""
"50",51,"65027","R","4","HDC",2005,"5","LpxD"
"51",52,"98726","R","4","HDC",2017,"","LpxD"
"52",53,"214","R","4","HDC",2013,"25","LpxD"
"53",54,"220","R","4","HDC",2013,"1","LpxD"
"54",55,"269","R","4","HDC",2017,"","LpxD+LpxC"
"55",56,"MR5","R","16","MENDOZA",2016,"1","LpxD"
"56",57,"MR9","R","32","MENDOZA",2016,"1","LpxD+LpxC"
"57",58,"52SJ","R","8","SJUAN",2016,"1","LpxC"
"58",59,"87TES","R","64","HDC",2004,"","LpxD"
"59",60,"MR11","R","64","MENDOZA",2016,"1","LpxA+LpxC+LpxD+pmrB"
"60",61,"MR2","R","32","MENDOZA",2016,"25","LpxA"
"61",62,"EDU","R","64","HDC",2018,"","sdatos"
"62",63,"MR10","R","16","MENDOZA",2016,"25","pmrB"
"63",64,"85CHA","R","8","CHACO",2016,"79","pmrB"
"64",65,"86800","R","64","HDC",2014,"","sdatos"
"65",66,"406","R","32","HDC",2014,"","sdatos"
"66",67,"HDC","R","32","HDC",2018,"","sdatos"
"67",68,"MR4","R","16","MENDOZA",2016,"25","sdatos"
"68",69,"MR3","R","16","MENDOZA",2016,"1","sdatos"
"69",70,"MR7","R","32","MENDOZA",2016,"1","LpxA+pmrB"
"70",71,"MR6","R","32","MENDOZA",2016,"25","LpxA+pmrB"
"71",72,"MR8","R","32","MENDOZA",2016,"","LpxA+LpxD"
"72",73,"MR1","R","32","MENDOZA",2016,"","LpxA"
